Category,Layer,Index1,Index2,Value
Actor_h1,Layer1,62,,0
Actor_z1,Layer1,63,,-32.0943
Actor_h1,Layer1,63,,0
Actor_z2,Layer2,0,,84.063
Policy,Layer2,0,,1
Actor_z2,Layer2,1,,-2.1698
Policy,Layer2,1,,3.54478e-38
Actor_z2,Layer2,2,,8.42745
Policy,Layer2,2,,1.41879e-33
Actor_z2,Layer2,3,,21.239
Policy,Layer2,3,,5.19862e-28
Chosen_Action,Output,,,0
Entropy,Output,,,0
Critic_z1,Layer1,0,,-9.85373
Critic_h1,Layer1,0,,0
Critic_z1,Layer1,1,,-29.2478
Critic_h1,Layer1,1,,0
Critic_z1,Layer1,2,,-41.0627
Critic_h1,Layer1,2,,0
Critic_z1,Layer1,3,,-15.5425
Critic_h1,Layer1,3,,0
Critic_z1,Layer1,4,,-8.87743
Critic_h1,Layer1,4,,0
Critic_z1,Layer1,5,,-92.1172
Critic_h1,Layer1,5,,0
Critic_z1,Layer1,6,,-52.0559
Critic_h1,Layer1,6,,0
Critic_z1,Layer1,7,,16.6462
Critic_h1,Layer1,7,,16.6462
Critic_z1,Layer1,8,,-44.9284
Critic_h1,Layer1,8,,0
Critic_z1,Layer1,9,,17.7564
Critic_h1,Layer1,9,,17.7564
Critic_z1,Layer1,10,,21.5039
Critic_h1,Layer1,10,,21.5039
Critic_z1,Layer1,11,,14.0713
Critic_h1,Layer1,11,,14.0713
Critic_z1,Layer1,12,,-36.1174
Critic_h1,Layer1,12,,0
Critic_z1,Layer1,13,,-46.0727
Critic_h1,Layer1,13,,0
Critic_z1,Layer1,14,,-26.1871
Critic_h1,Layer1,14,,0
Critic_z1,Layer1,15,,-22.4788
Critic_h1,Layer1,15,,0
Critic_z1,Layer1,16,,-11.8338
Critic_h1,Layer1,16,,0
Critic_z1,Layer1,17,,-24.3453
Critic_h1,Layer1,17,,0
Critic_z1,Layer1,18,,7.16718
Critic_h1,Layer1,18,,7.16718
Critic_z1,Layer1,19,,-125.44
Critic_h1,Layer1,19,,0
Critic_z1,Layer1,20,,-20.6854
Critic_h1,Layer1,20,,0
Critic_z1,Layer1,21,,-17.7294
Critic_h1,Layer1,21,,0
Critic_z1,Layer1,22,,-55.7187
Critic_h1,Layer1,22,,0
Critic_z1,Layer1,23,,-31.0053
Critic_h1,Layer1,23,,0
Critic_z1,Layer1,24,,-42.8238
Critic_h1,Layer1,24,,0
Critic_z1,Layer1,25,,-111.867
Critic_h1,Layer1,25,,0
Critic_z1,Layer1,26,,-142.928
Critic_h1,Layer1,26,,0
Critic_z1,Layer1,27,,65.4241
Critic_h1,Layer1,27,,65.4241
Critic_z1,Layer1,28,,-78.8859
Critic_h1,Layer1,28,,0
Critic_z1,Layer1,29,,-8.61795
Critic_h1,Layer1,29,,0
Critic_z1,Layer1,30,,-7.20083
Critic_h1,Layer1,30,,0
Critic_z1,Layer1,31,,-6.49274
Critic_h1,Layer1,31,,0
Critic_z1,Layer1,32,,-20.5599
Critic_h1,Layer1,32,,0
Critic_z1,Layer1,33,,-32.0864
Critic_h1,Layer1,33,,0
Critic_z1,Layer1,34,,-6.94205
Critic_h1,Layer1,34,,0
Critic_z1,Layer1,35,,-41.1256
Critic_h1,Layer1,35,,0
Critic_z1,Layer1,36,,-2.73507
Critic_h1,Layer1,36,,0
Critic_z1,Layer1,37,,-0.873505
Critic_h1,Layer1,37,,0
Critic_z1,Layer1,38,,-51.1053
Critic_h1,Layer1,38,,0
Critic_z1,Layer1,39,,-2.71936
Critic_h1,Layer1,39,,0
Critic_z1,Layer1,40,,-4.24261
Critic_h1,Layer1,40,,0
Critic_z1,Layer1,41,,-51.4424
Critic_h1,Layer1,41,,0
Critic_z1,Layer1,42,,-107.443
Critic_h1,Layer1,42,,0
Critic_z1,Layer1,43,,-4.88896
Critic_h1,Layer1,43,,0
Critic_z1,Layer1,44,,3.64126
Critic_h1,Layer1,44,,3.64126
Critic_z1,Layer1,45,,-26.6456
Critic_h1,Layer1,45,,0
Critic_z1,Layer1,46,,-90.951
Critic_h1,Layer1,46,,0
Critic_z1,Layer1,47,,-25.7382
Critic_h1,Layer1,47,,0
Critic_z1,Layer1,48,,-17.76
Critic_h1,Layer1,48,,0
Critic_z1,Layer1,49,,-2.16513
Critic_h1,Layer1,49,,0
Critic_z1,Layer1,50,,-30.9535
Critic_h1,Layer1,50,,0
Critic_z1,Layer1,51,,-73.1911
Critic_h1,Layer1,51,,0
Critic_z1,Layer1,52,,40.7847
Critic_h1,Layer1,52,,40.7847
Critic_z1,Layer1,53,,-19.591
Critic_h1,Layer1,53,,0
Critic_z1,Layer1,54,,-25.29
Critic_h1,Layer1,54,,0
Critic_z1,Layer1,55,,-97.7647
Critic_h1,Layer1,55,,0
Critic_z1,Layer1,56,,-15.9105
Critic_h1,Layer1,56,,0
Critic_z1,Layer1,57,,-104.247
Critic_h1,Layer1,57,,0
Critic_z1,Layer1,58,,-25.6408
Critic_h1,Layer1,58,,0
Critic_z1,Layer1,59,,-115.493
Critic_h1,Layer1,59,,0
Critic_z1,Layer1,60,,-26.2423
Critic_h1,Layer1,60,,0
Critic_z1,Layer1,61,,-64.8301
Critic_h1,Layer1,61,,0
Critic_z1,Layer1,62,,-1.93323
Critic_h1,Layer1,62,,0
Critic_z1,Layer1,63,,-9.12173
Critic_h1,Layer1,63,,0
Critic_Value,Output,,,97.5772
Reward,,,,14.4642
TD_Error,,,,7.07282
Advantage,,,,7.07282
actor_W1,Layer1,0,0,-0.0798027
actor_W1,Layer1,0,1,0.177914
actor_W1,Layer1,0,2,-0.100466
actor_W1,Layer1,0,3,-0.0369657
actor_W1,Layer1,0,4,0.0469763
actor_W1,Layer1,0,5,-0.221009
actor_W1,Layer1,0,6,-0.260614
actor_W1,Layer1,0,7,-0.140247
actor_W1,Layer1,0,8,0.214958
actor_W1,Layer1,0,9,0.209883
actor_W1,Layer1,0,10,0.05035
actor_W1,Layer1,0,11,-0.104975
actor_W1,Layer1,0,12,0.101507
actor_W1,Layer1,0,13,-0.0518314
actor_W1,Layer1,0,14,-0.130755
actor_W1,Layer1,0,15,0.0463876
actor_W1,Layer1,0,16,-0.067527
actor_W1,Layer1,0,17,0.171984
actor_W1,Layer1,0,18,0.00977923
actor_W1,Layer1,0,19,0.165885
actor_W1,Layer1,0,20,0.217318
actor_W1,Layer1,0,21,-0.0224303
actor_W1,Layer1,0,22,-0.267322
actor_W1,Layer1,0,23,0.206407
actor_W1,Layer1,0,24,-0.0571088
actor_W1,Layer1,0,25,-0.136586
actor_W1,Layer1,0,26,0.202787
actor_W1,Layer1,0,27,0.0497535
actor_W1,Layer1,0,28,-0.152543
actor_W1,Layer1,0,29,0.0430707
actor_W1,Layer1,0,30,0.196913
actor_W1,Layer1,0,31,-0.257122
actor_W1,Layer1,0,32,0.160342
actor_W1,Layer1,0,33,-0.263848
actor_W1,Layer1,0,34,-0.0203979
actor_W1,Layer1,0,35,-0.261397
actor_W1,Layer1,1,0,0.150585
actor_W1,Layer1,1,1,-0.0638478
actor_W1,Layer1,1,2,-0.136621
actor_W1,Layer1,1,3,0.183233
actor_W1,Layer1,1,4,-0.0308252
actor_W1,Layer1,1,5,0.0513283
actor_W1,Layer1,1,6,0.153686
actor_W1,Layer1,1,7,-0.244687
actor_W1,Layer1,1,8,-0.0665698
actor_W1,Layer1,1,9,-0.0422299
actor_W1,Layer1,1,10,0.176685
actor_W1,Layer1,1,11,0.0355902
actor_W1,Layer1,1,12,-0.120423
actor_W1,Layer1,1,13,-0.187061
actor_W1,Layer1,1,14,-0.0121092
actor_W1,Layer1,1,15,-0.0560658
actor_W1,Layer1,1,16,0.181465
actor_W1,Layer1,1,17,0.125593
actor_W1,Layer1,1,18,0.238422
actor_W1,Layer1,1,19,-0.075674
actor_W1,Layer1,1,20,0.24173
actor_W1,Layer1,1,21,0.0437622
actor_W1,Layer1,1,22,0.196475
actor_W1,Layer1,1,23,-0.17444
actor_W1,Layer1,1,24,-0.0255104
actor_W1,Layer1,1,25,-0.111102
actor_W1,Layer1,1,26,0.141486
actor_W1,Layer1,1,27,-0.227026
actor_W1,Layer1,1,28,-0.181267
actor_W1,Layer1,1,29,0.0838623
actor_W1,Layer1,1,30,-0.0392486
actor_W1,Layer1,1,31,-0.136329
actor_W1,Layer1,1,32,-0.243366
actor_W1,Layer1,1,33,-0.118523
actor_W1,Layer1,1,34,-0.186838
actor_W1,Layer1,1,35,-0.0780492
actor_W1,Layer1,2,0,-0.103433
actor_W1,Layer1,2,1,0.252147
actor_W1,Layer1,2,2,-0.149773
actor_W1,Layer1,2,3,0.20688
actor_W1,Layer1,2,4,-0.167008
actor_W1,Layer1,2,5,-0.0339745
actor_W1,Layer1,2,6,0.271175
actor_W1,Layer1,2,7,0.192168
actor_W1,Layer1,2,8,-0.159156
actor_W1,Layer1,2,9,0.103299
actor_W1,Layer1,2,10,0.036657
actor_W1,Layer1,2,11,0.170483
actor_W1,Layer1,2,12,-0.182621
actor_W1,Layer1,2,13,-0.0403872
actor_W1,Layer1,2,14,-0.00100983
actor_W1,Layer1,2,15,0.0308587
actor_W1,Layer1,2,16,0.278472
actor_W1,Layer1,2,17,0.0972301
actor_W1,Layer1,2,18,0.212046
actor_W1,Layer1,2,19,-0.205103
actor_W1,Layer1,2,20,0.0493807
actor_W1,Layer1,2,21,-0.120152
actor_W1,Layer1,2,22,-0.0152206
actor_W1,Layer1,2,23,0.188028
actor_W1,Layer1,2,24,0.134446
actor_W1,Layer1,2,25,0.269918
actor_W1,Layer1,2,26,0.181829
actor_W1,Layer1,2,27,0.25347
actor_W1,Layer1,2,28,0.0215042
actor_W1,Layer1,2,29,0.206015
actor_W1,Layer1,2,30,-0.129939
actor_W1,Layer1,2,31,0.155017
actor_W1,Layer1,2,32,0.202992
actor_W1,Layer1,2,33,0.130326
actor_W1,Layer1,2,34,0.0559829
actor_W1,Layer1,2,35,0.161751
actor_W1,Layer1,3,0,0.0293642
actor_W1,Layer1,3,1,-0.224401
actor_W1,Layer1,3,2,0.075317
actor_W1,Layer1,3,3,-0.00760077
actor_W1,Layer1,3,4,0.138451
actor_W1,Layer1,3,5,0.158455
actor_W1,Layer1,3,6,0.0899867
actor_W1,Layer1,3,7,0.233751
